metin,kategori,kaynak,zorluk
"Tasarruflarını değerlendirmek isteyen müşteriler için önceden belirlenmiş bir kâr paylaşım oranı yerine, piyasa değeri günlük olarak değişen araçlara erişim imkânı sunulmaktadır. Portföye sukuk, altın ve seçili katılım fonu payları eklenebilir. Alım ve satım kararları yatırımcının tercihine göre gerçekleştirilir.",yatirim,synthetic,zor
Ticari araç satın alımlarında avantajlı taşıt finansmanı seçenekleri.,tasit_finansmani,real,belirsiz
Dijital bankacılık kullanıcılarının güvenliği için şüpheli girişlerin tespit edilmesine yönelik yeni kontroller devreye alınmıştır. Tanınmayan bir cihazdan giriş yapılması halinde ek doğrulama istenebilir. Bankamız sizden telefon veya mesaj yoluyla internet şifrenizi paylaşmanızı talep etmez.,diger,synthetic,orta
Altın fiyatlarındaki hareketlerden yararlanmak isteyen müşteriler için gram altın alım satım imkânı sunulmaktadır. Yatırım hesabınız üzerinden dilediğiniz tutarda altın alabilir ve portföyünüzde takip edebilirsiniz.,yatirim,synthetic,kolay
"İlk kez ev sahibi olacak yeni müşterilere yönelik kampanyada, satın alınacak taşınmazın ekspertiz değeri ve müşteri değerlendirmesi dikkate alınarak finansman limiti belirlenir. 2.500.000 TL'ye kadar taleplerde %1,89'dan başlayan kâr payı oranı ve 10 yıla kadar vade seçeneği bulunmaktadır. Kampanyaya 15 Nisan 2026 tarihinden itibaren katılım sağlanabilir.",konut_finansmani,synthetic,orta
Uzun süredir planladığınız diş tedavisini ertelemek yerine giderlerinizi düzenli aylık ödemelere bölebilirsiniz. 125.000 TL'ye kadar ihtiyaçlarda 18 aya varan plan seçenekleri sunulmaktadır. Başvurunun sonuçlanması için sağlık hizmetine ilişkin belge istenebilir.,ihtiyac_finansmani,synthetic,zor
"İkinci el konut satın alımlarında bireysel müşterilere özel finansman imkânı sunulmaktadır. 2.000.000 TL'ye kadar konut finansmanı için 10 yıla varan ödeme planı oluşturabilir, detaylı bilgiye internet bankacılığından ulaşabilirsiniz.",konut_finansmani,synthetic,kolay
Sıfır araç alımlarında 48 aya kadar taşıt finansmanı fırsatı.,tasit_finansmani,real,belirsiz
Düşük ve orta risk profiline sahip müşteriler için kira sertifikası ve kısa vadeli katılım araçlarından oluşan bir fon alternatifi sunulmaktadır. Fon portföyü profesyonel yöneticiler tarafından piyasa koşullarına göre güncellenir. Getiri önceden garanti edilmez ve fon birim pay değeri değişebilir.,yatirim,synthetic,orta
Mobilya ve beyaz eşya alımlarında ihtiyaç finansmanı fırsatı.,ihtiyac_finansmani,real,belirsiz
Konut projelerine özel avantajlı finansman koşulları sunulmaktadır.,konut_finansmani,real,belirsiz
"Evinizin mutfak veya banyo yenilemesi için 500.000 TL'ye kadar ihtiyaç finansmanı kullanabilirsiniz. %2,35 kâr payı oranıyla 36 aya kadar ödeme imkânı bulunan kampanya 30 Kasım 2026 tarihine kadar devam edecektir.",ihtiyac_finansmani,synthetic,kolay
Kira sertifikalarına yatırım yaparak faizsiz sermaye piyasası araçlarını portföyünüze ekleyebilirsiniz. Farklı vadelerde ihraç edilen ürünlerin detayları ve risk bilgileri internet şubesinde görüntülenebilir.,yatirim,synthetic,kolay
"Yatırım hesabı açarak katılım esaslı fon, sukuk, altın ve döviz ürünlerine tek noktadan erişebilirsiniz. İşlemlerinizi mobil kanaldan takip edebilir ve portföyünüzün dağılımını ihtiyaçlarınıza göre değiştirebilirsiniz.",yatirim,synthetic,kolay
Kira sertifikası ihracına yatırım yapabilirsiniz.,yatirim,real,belirsiz
Gold kart ile restoran harcamalarında yüzde 15 iade.,kredi_karti,real,belirsiz
Hesabınıza tanımlayacağınız cep telefonu numarasıyla para transferlerinde IBAN paylaşma ihtiyacını azaltabilirsiniz. Kolay adres tanımı mobil uygulamadan oluşturulabilir veya güncellenebilir. Tanımlama işlemi herhangi bir yatırım ya da finansman ürünü oluşturmaz.,diger,synthetic,orta
Dolar cinsinden tasarruflarını korumak ve aynı zamanda katılım esaslı bir getiri modeline dahil olmak isteyen müşteriler 3 aylık dönem seçebilir. Hesaba yatırılan tutar ortak bir fonlama havuzunda değerlendirilir ve gerçekleşen sonuç müşterinin paylaşım oranına göre yansıtılır.,katilma_hesabi,synthetic,zor
"Sıfır otomobil sahibi olmak isteyen bireysel müşterilerimize özel taşıt finansmanı fırsatı sunuyoruz. 950.000 TL'ye kadar finansman, %2,09 kâr payı oranı ve 48 aya varan vade seçenekleriyle kullanılabilir. Başvurular 5 Mayıs 2026 tarihinden itibaren şubelerimizden yapılabilir.",tasit_finansmani,synthetic,kolay
İlk evim kampanyası kapsamında uygun ödeme planlı konut finansmanı.,konut_finansmani,real,belirsiz
"Düzenli tasarruf yapan müşteriler her ay belirledikleri tutarla seçili fonlardan pay satın alabilir. İşlem, klasik bir katılma hesabında olduğu gibi vade sonunda kâr payı dağıtımına dayanmaz; portföyünüzdeki payların değeri piyasa hareketlerine göre değişir. Talimatlar mobil uygulama üzerinden güncellenebilir.",yatirim,synthetic,zor
Kart ile yapılan seyahat harcamalarında yüzde 10 iade.,kredi_karti,real,belirsiz
Sıfır veya ikinci el araç tercihinize göre farklı ödeme seçeneklerinden yararlanabilirsiniz. 950.000 TL tutarındaki finansman ihtiyacı için 36 ve 48 aylık planlar sunulurken nihai oran başvuru değerlendirmesi sonrasında belirlenir. Kampanyaya internet üzerinden başvuru yapılabilir.,tasit_finansmani,synthetic,orta
"Döviz yatırımlarınızı dolar ve euro cinsinden kolayca yönetebilirsiniz. Mobil uygulama üzerinden piyasa koşullarını takip ederek alım veya satım işlemi gerçekleştirebilir, varlık dağılımınızı çeşitlendirebilirsiniz.",yatirim,synthetic,kolay
Katılım fonları ile uzun vadeli yatırım alternatifleri.,yatirim,real,belirsiz
"Döviz birikimlerinizi günlük harcamalardan ayırarak belirli bir süre değerlendirmek istiyorsanız dolar ve euro bazlı hesap alternatiflerinden yararlanabilirsiniz. 1 ve 3 aylık vadelerde elde edilen sonuç, katılım bankacılığına özgü kâr-zarar paylaşımı prensibine göre hesabınıza aktarılır.",katilma_hesabi,synthetic,orta
Yeni ev alacak müşterilere 2 milyon TL'ye kadar konut finansmanı desteği.,konut_finansmani,real,belirsiz
Sağlık harcamalarınızı bütçenizi zorlamadan karşılamak için 250.000 TL'ye kadar bireysel finansman kullanabilirsiniz. 24 aya kadar vade seçenekleri sunulan ürüne internet bankacılığından ön başvuru yapılabilir.,ihtiyac_finansmani,synthetic,kolay
Peşinat sonrası kalan tutar için konut finansmanı kullanabilirsiniz.,konut_finansmani,real,belirsiz
Dolar birikimlerinizi değerlendirmek için yabancı para katılma hesabı seçeneğinden yararlanabilirsiniz. 1 ay ile 1 yıl arasında değişen vadelerde hesap açabilir ve gerçekleşen kâr payına ortak olabilirsiniz.,katilma_hesabi,synthetic,kolay
"Ev veya işyerinde oluşabilecek belirli risklere karşı sigorta seçenekleri hakkında şubelerimizden bilgi alabilirsiniz. Poliçe kapsamı, teminatlar ve prim tutarları seçilen ürüne göre değişmektedir. Bu hizmet herhangi bir ev satın alma finansmanı içermemektedir.",diger,synthetic,orta
"İşyerinizde kullanılan POS cihazında bağlantı sorunu yaşamanız halinde teknik destek hattımıza ulaşabilirsiniz. Terminal yeniden başlatma, bağlantı testi ve işlem kontrolü konusunda uzaktan destek sağlanabilir. Hizmet, işletmeye finansman kullandırılmasına yönelik değildir.",diger,synthetic,zor
Kartınızı evde unutsanız bile uygun ATM'lerde mobil uygulamadaki karekod özelliğini kullanarak hesabınızdan para çekebilirsiniz. İşlem doğrudan seçtiğiniz hesaptaki mevcut bakiyeden gerçekleştirilir. Bu özellik kartla yapılan bir alışveriş kampanyası veya kredi kartı avantajı değildir.,diger,synthetic,zor
Fon alım satım işlemleri internet bankacılığından yapılabilir.,yatirim,real,belirsiz
"Satın almayı planladığınız ikinci el dairenin ekspertiz işlemleri tamamlandıktan sonra kalan ödeme ihtiyacınız için bankamızın uzun vadeli çözümünden yararlanabilirsiniz. 1 Haziran 2026'dan itibaren yapılacak başvurularda 36, 60 ve 120 aylık alternatifler sunulmaktadır. Yeni ve mevcut müşteriler başvurularını mobil uygulamadan başlatabilir.",konut_finansmani,synthetic,zor
Kişisel harcamalar için avantajlı kâr payı ile finansman.,ihtiyac_finansmani,real,belirsiz
Ev alımına yönelik bireysel finansman başvuruları şubelerden yapılabilir.,konut_finansmani,real,belirsiz
"Evinizde uzun süredir ertelediğiniz boya, parke ve tesisat yenileme işlemlerini tek seferde yaptırabilirsiniz. 350.000 TL'ye kadar sağlanan finansman için 36 aya varan ödeme seçenekleri sunulur. Kesin kâr payı oranı başvuru değerlendirmesinin ardından belirlenir.",ihtiyac_finansmani,synthetic,orta
Otomobilinizi yenilerken peşinat sonrasında kalan tutar için bankamızın araç alımına özel finansman çözümünden yararlanabilirsiniz. 24 ve 48 ay vadelerde farklı kâr payı oranları uygulanmaktadır. Yeni müşteriler ön başvurularını mobil kanaldan iletebilir.,tasit_finansmani,synthetic,orta
İkinci el otomobil alımlarında 300.000 TL'den başlayan finansman seçeneklerinden yararlanabilirsiniz. 36 aya kadar vade ve müşteriye özel kâr payı oranlarıyla bütçenize uygun ödeme planı oluşturabilirsiniz.,tasit_finansmani,synthetic,kolay
"Mobil uygulamadaki yeni para transferi ekranı sayesinde kayıtlı alıcılarınıza daha az adımla gönderim yapabilirsiniz. EFT, havale ve FAST seçenekleri işlem saatine göre otomatik olarak gösterilir. Transfer geçmişiniz aynı ekrandan görüntülenebilir.",diger,synthetic,orta
"Mobil uygulamanın yeni sürümünde hesaplar arası geçiş, dekont paylaşımı ve işlem arama özellikleri geliştirildi. Güncelleme sonrasında sık kullandığınız bankacılık işlemlerine ana ekrandan erişebilirsiniz. Eski uygulama sürümleri belirli bir tarihten sonra desteklenmeyebilir.",diger,synthetic,orta
"Sıfır araç alımlarında %2,09 kâr payı oranıyla 48 aya kadar ödeme imkânından yararlanabilirsiniz. 1,5 milyon TL'ye kadar olan talepler müşteri değerlendirmesi ve araç bedeli doğrultusunda sonuçlandırılmaktadır. Başvuru süreci internet bankacılığından takip edilebilir.",tasit_finansmani,synthetic,orta
Hayalinizdeki eve kavuşmanız için düşük maliyetli konut finansmanı fırsatı.,konut_finansmani,real,belirsiz
Ev yenileme masrafları için bireysel finansman seçeneği.,ihtiyac_finansmani,real,belirsiz
Konut alımlarında avantajlı kâr payı oranı ve esnek ödeme seçenekleri sunulmaktadır.,konut_finansmani,real,belirsiz
FAST ile para transferlerinizi günün her saatinde gerçekleştirebilirsiniz. IBAN veya kolay adres bilgisi kullanarak işleminizi mobil ve internet bankacılığından tamamlayabilirsiniz.,diger,synthetic,kolay
"Birikimlerinizi katılım bankacılığı prensiplerine uygun şekilde değerlendirmek için TL katılma hesabı açabilirsiniz. 1 ay, 3 ay, 6 ay ve 1 yıl vade seçenekleri arasından tercih yapabilir, dönem sonunda oluşan kâr payından yararlanabilirsiniz.",katilma_hesabi,synthetic,kolay
Katılım hesabı ürünümüzle tasarruflarınızı değerlendirebilirsiniz.,katilma_hesabi,real,belirsiz
"Mevcut evinizi değiştirerek yeni bir konuta taşınmak istiyorsanız, satın alma bedelinin uygun bulunan kısmı için finansman desteği sağlanabilir. 60 ay vadeli seçeneklerde %2,15 kâr payı oranı uygulanırken daha uzun vadeler için oranlar farklılaşabilir. 1 Haziran 2026'dan itibaren geçerli koşullar mobil uygulamada görüntülenebilir.",konut_finansmani,synthetic,orta
İnternet bankacılığında güvenliğinizi artırmak amacıyla giriş adımları güncellenmiştir. Hesabınıza erişirken tek kullanımlık doğrulama kodu talep edilebilir.,diger,synthetic,kolay
Altın birikimlerinizi atıl bırakmadan katılım bankacılığı esaslarına uygun bir hesapta değerlendirebilirsiniz. 3 ay ve 6 ay vadeli seçeneklerde dönem sonunda oluşan getiri kâr paylaşımı esasına göre hesabınıza yansıtılır.,katilma_hesabi,synthetic,kolay
"Birikiminizin tamamını tek bir vadeli üründe değerlendirmek yerine farklı araçlara bölerek risk dağılımı sağlayabilirsiniz. Örneğin portföyün bir bölümü kira sertifikalarında, diğer bölümü gram altın ve katılım fonlarında tutulabilir. Bu yapıdaki kazanç veya kayıp, seçilen araçların piyasa performansına bağlıdır.",yatirim,synthetic,zor
İşyeri müşterileri satışlarından doğan tahsilatlarını POS üzerinden banka hesaplarına aktarabilir. Gün sonu raporları internet bankacılığından görüntülenebilir ve işlem hareketleri dışa aktarılabilir. Hizmet koşulları işletme tipine göre değişebilir.,diger,synthetic,orta
"Hayalinizdeki daireye kavuşmak için 500.000 TL'den başlayan konut finansmanı seçeneklerimizi değerlendirin. %2,15 kâr payı oranı ve 36 aya varan vade imkânı Ağustos sonuna kadar geçerlidir.",konut_finansmani,synthetic,kolay
Mobil bankacılıktan kolayca katılma hesabı açabilirsiniz.,katilma_hesabi,real,belirsiz
Yeni mobilyalarınızı ve eviniz için gerekli beyaz eşyaları almak artık daha kolay. 180.000 TL'ye kadar finansman desteği 3 aydan 24 aya kadar farklı vade seçenekleriyle sunulmaktadır. Başvurunuzu mobil kanaldan gerçekleştirebilirsiniz.,ihtiyac_finansmani,synthetic,kolay
Evinizin tadilatı için uygun ödeme planlı ihtiyaç finansmanı.,ihtiyac_finansmani,real,belirsiz
Altın hesabınıza ait bakiye ve geçmiş hareketler yeni mobil bankacılık ekranında tek sayfada görüntülenebilir. Bu güncelleme yalnızca hesap bilgilerinin izlenmesini ve işlem geçmişine erişimi kolaylaştırmaktadır. Herhangi bir altın fonu veya yatırım tavsiyesi sunulmamaktadır.,diger,synthetic,zor
"Uzun süre elde tutulması planlanan birikimler için altın ve kira sertifikalarının birlikte yer aldığı dengeli bir dağılım tercih edilebilir. Müşteri belirli bir vade sonunda sabit getiri almak yerine, sahip olduğu araçların fiyat ve gelir performansına ortak olur. Portföy durumu internet şubesinden izlenebilir.",yatirim,synthetic,zor
Otomobil alımlarında katılım bankacılığı esaslarına uygun finansman.,tasit_finansmani,real,belirsiz
Ev sahibi olmak isteyenlere özel 120 aya varan vadelerle konut finansmanı fırsatı.,konut_finansmani,real,belirsiz
İkinci el araç satın almak isteyen mevcut müşterilerimize özel finansman koşulları hazırlandı. Aracın yaşı ve satış bedeli dikkate alınarak 950.000 TL'ye kadar destek sağlanabilir. Başvurular mobil uygulamadan başlatılıp gerekli belgeler şubeye iletilebilir.,tasit_finansmani,synthetic,orta
Eğitim giderlerinizi karşılamak üzere katılım esaslı finansman.,ihtiyac_finansmani,real,belirsiz
Elektronik alışverişlerinde kredi kartına özel 6 taksit.,kredi_karti,real,belirsiz
Kısa ve orta vadeli piyasa fırsatlarını değerlendirmek isteyen müşteriler için sukuk ağırlıklı bir katılım fonu sunulmaktadır. Portföyün önemli bölümü kira sertifikalarından oluşurken kalan kısmı farklı faizsiz yatırım araçlarında değerlendirilebilir. Fon paylarının değeri piyasa koşullarına göre değişmektedir.,yatirim,synthetic,orta
"Şubeye gitmeden banka hesabınıza ait IBAN bilgisini mobil uygulamadan görüntüleyebilir ve paylaşabilirsiniz. Aynı ekrandan hesap adı, para birimi ve kullanılabilir bakiye bilgilerine erişilebilir. Herhangi bir fon, sukuk veya kâr payı ürünü satın alınmaz.",diger,synthetic,zor
"Beklenmedik bir sağlık gideri ortaya çıktığında tüm tutarı aynı anda ödemeniz gerekmeyebilir. Tedavi, tetkik ve hastane masrafları için 200.000 TL'ye kadar ödeme kolaylığı sağlanarak 3 ila 24 aylık bir plan hazırlanabilir. Başvuru mobil uygulamadan başlatılıp şubede tamamlanabilir.",ihtiyac_finansmani,synthetic,zor
İhtiyaçlarınızı ertelemeden karşılamak için finansman desteği.,ihtiyac_finansmani,real,belirsiz
"Orta vadeli birikimlerini sermaye piyasalarında değerlendirmek isteyen müşteriler için kira sertifikası seçenekleri sunulmaktadır. 6 ay, 1 yıl ve daha uzun vadeli ihraçlar arasından tercih yapılabilir. Ürünün getirisi ve vade yapısı ihraç koşullarına göre değişiklik gösterebilir.",yatirim,synthetic,orta
Birikim hesabınızdan farklı bir hesaba para aktarmak istediğinizde hesaplar arası transfer özelliğini kullanabilirsiniz. İşlem sırasında herhangi bir vade veya kâr payı tanımlanmaz; yalnızca bakiyenizin seçtiğiniz hesaba aktarımı yapılır. Transfer sonucu mobil uygulamadan takip edilebilir.,diger,synthetic,zor
Portföyünü çeşitlendirmek isteyenlere sukuk yatırım fırsatı.,yatirim,real,belirsiz
Araç satın alımlarında ödeme planınızı bütçenize göre oluşturun.,tasit_finansmani,real,belirsiz
"Aylık harcamalarınız dışında kalan tasarrufunuzu 25.000 TL başlangıç tutarıyla ayrı bir hesapta değerlendirebilirsiniz. 1 ay, 3 ay veya 1 yıl sonunda hesabın performansına bağlı olarak oluşan kazanç ya da zarar bakiyenize yansıtılır.",katilma_hesabi,synthetic,zor
"Yeni bir yaşam düzeni kurarken koltuktan beyaz eşyaya, perdeden küçük ev aletlerine kadar pek çok kalem aynı anda masraf oluşturabilir. Uygun bulunan alışveriş bedelinin 300.000 TL'ye kadar olan bölümü için 6 ila 30 aylık ödeme takvimi hazırlanabilir. Bu imkândan yararlanmak isteyen bireysel müşteriler 15 Kasım 2026'ya kadar şubeye başvurabilir.",ihtiyac_finansmani,synthetic,zor
"Katılım bankacılığı prensiplerine uygun sukuk seçenekleriyle yatırım portföyünüzü çeşitlendirebilirsiniz. Farklı vade ve getiri yapılarına sahip kira sertifikalarını mobil uygulama üzerinden inceleyebilir, uygun gördüğünüz ürüne yatırım yapabilirsiniz.",yatirim,synthetic,kolay
"Düğün hazırlıklarınız için ihtiyaç duyduğunuz harcamaları 200.000 TL'ye kadar finansman desteğiyle karşılayabilirsiniz. 6, 12, 18 veya 24 aylık ödeme seçeneklerinden bütçenize uygun olanı seçebilirsiniz. Kampanya Ekim ayı sonuna kadar geçerlidir.",ihtiyac_finansmani,synthetic,kolay
"Yeni bir otomobile geçiş yaparken bütçenizin tamamını tek seferde kullanmak zorunda değilsiniz. Satın alma bedelinin uygun bulunan bölümü için %2,09'dan başlayan oranlarla 48 aya kadar ödeme planı hazırlanabilir. Ön değerlendirme mobil uygulamada, nihai işlemler ise şube üzerinden tamamlanır.",tasit_finansmani,synthetic,zor
"Evinizin yaşam alanlarını yenilerken dekorasyon, kapı, zemin ve mutfak dolabı giderlerinizi tek plan altında karşılayabilirsiniz. 275.000 TL tutarındaki finansman ihtiyacı 12, 24 veya 36 ay vadeyle değerlendirilebilir. Şubeden tamamlanacak başvuru için harcamaya ilişkin belgeler talep edilebilir.",ihtiyac_finansmani,synthetic,orta
"Yeni otomobil alımınıza özel ödeme çözümüyle 1.200.000 TL'ye kadar finansman kullanabilirsiniz. 12, 24 ve 36 aylık alternatif ödeme planları arasından bütçenize uygun seçeneği belirleyebilirsiniz. Kampanya bireysel müşteriler için Eylül ayı sonuna kadar geçerlidir.",tasit_finansmani,synthetic,orta
Yeni müşterilere özel olarak hazırlanan ev sahibi olma paketinde ilk 12 aya yönelik esnek taksit seçenekleri sunulmaktadır. 2.000.000 TL tutarındaki finansman 10 yıla kadar vadelendirilebilir ve başvuru süreci mobil uygulamadan başlatılabilir. Nihai koşullar satın alınacak konutun ekspertiz değeri üzerinden belirlenir.,konut_finansmani,synthetic,orta
"Banyonuzu yenilemek, evin elektrik tesisatını değiştirmek ve eskiyen pencereleri elden geçirmek istiyorsanız masrafları tek seferde karşılamak zorunda değilsiniz. 320.000 TL'ye kadar tutar için 36 aya yayılan bir ödeme programı oluşturulabilir. Kampanya Aralık ayının ilk haftasına kadar bireysel müşterilere açıktır.",ihtiyac_finansmani,synthetic,zor
Banka hesabınıza giriş yapıldığında kayıtlı cep telefonunuza güvenlik bildirimi gönderilebilir. Bildirimde size ait olmayan bir cihaz görürseniz internet bankacılığı şifrenizi değiştirmeniz ve müşteri hizmetlerine bilgi vermeniz önerilir. Bu duyuru hesap güvenliğiyle ilgilidir ve herhangi bir ürün kampanyası içermez.,diger,synthetic,zor
Döviz ve altın bazlı yatırım ürünleri sunulmaktadır.,yatirim,real,belirsiz
"Yeni evinize taşındıktan sonra elektrik, su ve doğal gaz faturalarınız için otomatik ödeme talimatı oluşturabilirsiniz. Talimatlar mobil uygulamadan görüntülenebilir, değiştirilebilir veya iptal edilebilir. Hizmet yalnızca fatura ödemelerinin düzenli olarak gerçekleştirilmesini sağlar.",diger,synthetic,zor
"Şehir merkezinde veya yeni gelişen bölgelerde daire almayı planlayan bireysel müşteriler, uzun vadeli finansman seçeneklerinden yararlanabilir. 3.500.000 TL'ye kadar sağlanan destek için 120 aya varan ödeme planı oluşturulabilir. Başvurular internet bankacılığından başlatılıp gerekli belgeler şubeye teslim edilebilir.",konut_finansmani,synthetic,orta
"Çocuğunuzun okul, kurs ve eğitim masrafları için 75.000 TL'den 300.000 TL'ye kadar ihtiyaç finansmanı seçenekleri sunulmaktadır. 12 ve 24 aylık vadelerde farklı kâr payı oranlarından yararlanabilirsiniz. Başvurular 15 Ağustos 2026'dan itibaren alınacaktır.",ihtiyac_finansmani,synthetic,kolay
Akaryakıt harcamalarına özel bonus ve indirim fırsatı.,kredi_karti,real,belirsiz
"İkinci el otomobil alımlarında finansman tutarı aracın satış fiyatı ve değerlendirme kriterlerine göre belirlenmektedir. 750.000 TL'ye kadar talepler 12, 24 veya 36 ay vadeyle değerlendirilebilir. Kart müşterilerine başvuru sürecinde ek ücret avantajı sunulabilir.",tasit_finansmani,synthetic,orta
Yurt içi para gönderim işlemlerinizde alıcının IBAN bilgisini kullanarak transfer talimatı oluşturabilirsiniz. Mobil ve internet kanallarında işlem öncesinde alıcı adı ve tutar bilgileri kontrol ekranında gösterilir. Onaylanan transferlerin durumu işlem geçmişinden izlenebilir.,diger,synthetic,orta
Evinizin tadilat ve yenileme masrafları için 300.000 TL'ye kadar ihtiyaç finansmanı kullanabilirsiniz. 36 aya kadar vade imkânı sunulan kampanyaya 1 Eylül 2026 tarihinden itibaren şubelerimizden başvurabilirsiniz.,ihtiyac_finansmani,synthetic,kolay
